Principal Component 1,Principal Component 2,Feature
-3.804532541298815,-0.5871591090032038,Importance_23_TH-PGWL0216.csv
-2.983871756343437,-1.8646270926395665,Importance_24_AN-DEB020.csv
-2.0425326399261587,-2.881160826383188,Importance_27_AN-62M01.csv
-4.405428506101618,-0.8375835783931104,Importance_31_SW-60110129.csv
