"Temperature?C (Min)","Temperature(Max)",Dissolved Oxygen (mg/L) (Min),Dissolved Oxygen (mg/L) (Max),pH (Min),pH (Max),Conductivity (?mhos/cm) (Min),Conductivity (?mhos/cm) (Max),BOD (mg/L) (Min),BOD (mg/L) (Max),Fecal Coliform (MPN/100ml) (Min),Fecal Coliform (MPN/100ml) (Max),Total Coliform (MPN/100ml) (Min),Total Coliform (MPN/100ml) (Max)
23,25,5.8,6.8,7.1,7.9,732,1340,3.3,4.5,13,58,70,196
21,27,4.3,5.9,7.3,7.8,690,1150,2.9,3.8,340,490,2200,3500
25,25,0.3,4.8,6.5,7.6,969,2005,5,50,4600,940000,35000,5400000
23,26,6.9,7.3,7.7,8.2,581,790,3.4,3.9,41,136,221,394
25,26,6.9,7.3,7.7,8.3,876,1008,3.3,3.9,21,63,120,185
25,25,0.3,7.1,6.7,9.3,192,450,4,48,2700,94000,24000,540000
25,25,0.3,6.5,6.5,8.1,309,5860,3,124,4600,94000,24000,540000
24,25,1.9,6.2,6.5,7.2,667,1330,2,81,2300,110000,24000,920000
25,32,6.2,7.7,7.2,8.3,92,290,2,2.2,NAN,NAN,NAN,NAN
25,25,4,6.9,6.5,8.5,512,1120,4,14,140,94000,24000,1600000
25,25,3.1,5.6,6.6,7.6,887,1791,5,14,3300,170000,24000,920000
29,30,5.4,7.8,6.9,7.5,148,1168,1,4,2,1400,2,2200
22,24,5.1,6.1,6.3,7.4,15000,18410,1,3.5,100,150,350,610
29,30,3.1,5.6,6.9,8,1285,7651,1.4,5.9,200,1700,400,3500
26,31,5.7,8,6.5,8.7,100,33520,1,2.4,100,2000,630,6300
28,29,6.1,7.9,6.6,7.4,131,1314,1,3.8,2,1400,2,4100
26,27,1.6,3.2,6.4,7.8,173,240,1,7.2,920,1700,2100,3100
20,23,5.1,6.9,6.2,7.6,12140,16130,1,2.3,94,140,380,490
24,30,6.7,8,6.6,7.8,47,73,1,1.2,20,80,100,620
24,26,6.5,7.8,6.7,7.6,36,44,1,1,2,2,2,100
25,29,6.9,8.2,6.5,7,24,29,1,1.5,2,27,14,79
24,29,6.9,8.2,6.2,8.1,23,56,1,1.3,47,3500,84,5400
25,29,6.9,8.2,6.4,7.7,21,48,1,1,2,120,12,400
22,31,6.1,7.8,6.8,7.8,77,138,1,3.4,2,700,100,1200
21,25,6.5,7.5,6.4,7.8,162,185,1,2,70,110,240,410
26,27,5.2,7.1,5.7,6.9,105,165,1.7,3.8,200,700,700,1700
27,31,3.4,7.8,6.3,7.9,200,42380,1,3.6,630,32000,1500,200000
23,32,6.5,8.2,6.7,8,43,190,1,2.1,20,810,40,1300
26,27,2.5,6.7,7,7.9,248,282,3.7,7.8,1000,2200,3100,7000
27.9,31.3,NAN,NAN,7.1,9.2,229,515,NAN,NAN,2,2,2,2
28,30,9,9,7.1,9.5,300,900,1,1,5,5,1600,1600
28.1,31.1,NAN,NAN,6.4,7.6,658,824,NAN,NAN,NAN,NAN,NAN,NAN
19,24.3,6.8,7.9,7.4,8.8,326,512,1,2,2,2,43,63
20,24,7,7.8,7.1,8.4,325,573,1,1.3,2,2,40,58
17,28.2,5.8,7.3,7.1,8.2,280,764,2.7,6,2,110,43,920
19.2,32.9,6.7,7.9,7,8.1,204,288,1,1.6,2,2,33,47
20,32,6,8.6,6.8,8.1,215,524,1.4,8.4,2,180,49,24000
20,24,7,7.9,7.2,7.9,250,490,1.4,2.4,2,2,24,34
17,30,7.1,7.9,7.1,8.9,511,713,1,1.8,3,4,14,43
19,30,5.2,10.4,7.1,8.3,183,422,1,1.4,2,180,110,35000
16.6,27,7.1,8.3,7.2,8.1,238,411,1,1.9,2,4,8,48
22,30,4.3,7.1,7.2,8.5,243,702,1,2.9,2,2,4,38
19,33,4.7,8.3,7.2,8,226,509,1.2,8,2,920,150,120000
20,27,5.2,7.8,7.6,8.1,278,800,1.7,3.2,2,8,32,110
17,32,7,8,7.3,8.2,611,813,1.2,1.8,3,7,15,75
19,23.8,6.2,7.7,6.1,8.5,260,371,1,1.8,2,2,36,63
20,33,2,10.2,6.8,8.6,445,738,4.8,12,14,2100,280,220000
20,23,6.7,7.8,7.4,8.2,344,796,1,1.4,2,2,34,63
17,27.7,6,7.7,7.1,7.8,368,690,2.6,5,2,350,46,1600
19,32,4.1,8,7.4,8.1,211,285,1,1.7,2,3500,240,92000
19,32,5,8.1,7.2,7.7,208,305,1.1,4.2,2,4700,150,43000
20,32,5,8.6,7.3,8.1,205,256,1.2,4,2,2600,110,92000
20,31,4.7,8.6,7.3,8.2,210,288,1.1,3.6,2,3500,140,54000
20,24,6.6,7.9,7.6,8.5,493,743,1,2.2,2,2,40,70
20,24,6.9,7.8,7.4,8.4,327,424,1,1.3,2,2,33,403
16,30.3,6,7.6,7.3,7.9,220,612,1.8,4.4,2,120,17,1600
17.3,27.6,5.7,7.6,7.3,8.7,180,671,2.4,8,2,150,14,1600
17,27.9,5.3,7.6,7.2,7.9,260,636,2.3,4,2,70,41,1600
22,29,6.8,7.9,7.2,8.5,339,440,1.6,2.9,2,6,47,110
16.2,31,6.2,7.8,7.2,7.9,262,687,1.1,5.2,2,110,17,920
19,24,6.5,7.6,7.4,8.7,440,621,1.2,2.2,2,2,63,140
11.4,25,6.8,7.5,7.2,7.9,210,592,1.7,2.1,2,4,48,49
19,30,5.8,7.5,7.5,8.5,288,415,1,1.9,2,2,33,48
17,26,5.2,8.3,7.2,8.2,265,780,2.8,8,2,280,63,1600
15,36,6.5,7.6,7.1,7.5,203,530,1.4,1.8,NAN,NAN,NAN,NAN
20,23,0.3,7.8,7.54,8.2,5,529,1,1.2,2,2,33,49
16.6,27.4,7,7.9,7.2,7.9,210,358,1,1.8,2,4,7,46
18,28,6.6,7.6,6.4,7.5,180,205,2.7,3.5,25,65,70,120
19,28,6.8,7.3,6.9,7.5,150,240,3,3.7,10,20,15,60
19,28,6.5,7.6,6.8,7.5,130,210,2.9,3.6,10,75,60,105
18.7,28,6.8,7.4,6.9,7.7,150,215,3.1,3.6,10,45,50,95
20,28,6.9,7.6,7,7.4,130,286,3.2,3.6,5,25,30,60
19,28,5.8,6.9,7,7.6,110,430,3.3,3.9,30,60,75,175
20,28,6.2,7.5,7,7.5,80,450,3.2,3.9,35,70,70,120
21,28,6.7,7.4,7.2,7.5,80,350,3.1,3.6,2,20,25,50
21,28,6.5,7.5,7.1,7.5,90,300,3.2,3.7,2,40,35,70
18,27,6.5,7.4,7.2,7.6,90,340,3,3.7,5,15,20,65
21,28,5.4,6.8,6.9,7.7,150,350,3.3,4.4,40,70,105,185
21,28,5.5,7.1,7,7.7,150,660,3.4,4.1,35,65,85,170
21,28,5.3,7,6.9,7.6,280,610,3.4,4.6,60,95,215,310
20,27,6.4,7.1,6.8,7.4,90,320,3.2,3.7,20,40,50,110
20,28,6,7.8,6.9,7.5,120,230,3,3.9,10,50,35,160
20,28,6.2,7.8,7,7.6,80,175,2.9,3.6,2,15,15,50
21,27,6.6,7.8,7.3,7.6,80,190,2.8,3.7,10,62,20,75
21,28,6.7,7.7,7.1,7.6,80,350,3.2,3.6,10,30,30,95
17.1,29,6.5,7,6.9,7.3,61,78,1.5,2.2,110,170,450,540
12,21,6.8,7.6,6.9,7.3,37,70,1.4,1.9,10,17,130,170
15,23.1,5.7,6.8,7,7.8,74,117,5.2,7.8,380,420,1100,1700
15,23,5.5,6.8,7.1,7.8,73,105,4.8,7.5,310,410,830,1300
14,23.1,4.5,5.9,7.2,7.9,77,250,6,9,350,520,920,2100
15,23.2,5.6,6.6,6.8,7.8,69,130,5.3,7,340,460,940,1700
14,26,6,7.8,7,7.8,110,145,2.1,3.6,70,120,350,490
13,22,6.7,12.7,6.4,7.6,58,283,1,2.2,NAN,NAN,NAN,NAN
16,29,4.1,9.5,6.6,7.8,234,422,1.2,3.2,NAN,NAN,NAN,NAN
20,30,5,8.9,7.1,7.7,195,347,1.2,2.9,NAN,NAN,NAN,NAN
17,22,6.8,9.2,6.7,7.8,34,379,1,2.6,NAN,NAN,NAN,NAN
19,34.3,3.2,6.2,6.5,8,88,550,1.5,2.6,NAN,NAN,NAN,NAN
19,41,1.4,6.8,2,7.8,72,250,1.3,2.8,NAN,NAN,NAN,NAN
19,35,5.2,7.5,6.6,8,111,184,1.2,2.6,700,4900,2400,17000
20,33,4,7.7,6.5,8.2,96,223,1.1,2.2,130,2300,790,9200
20,34,6.2,7.8,6.5,8.5,102,181,1.1,1.9,130,3500,490,16000
20,32,5.8,7.8,6.9,8.4,117,259,1.1,2.3,220,1700,1300,4700
14,32,5.6,11,6.9,8.5,106,40520,1.3,2.7,2,2300,2,4900
20,32,5.8,9.6,6.9,8.4,2930,42780,1.2,1.9,2,1700,20,3500
13,30,3,11.5,7.9,8.5,147,945,1.9,6,110,1700,460,3500
22,33,4.1,9.1,6.5,8,236,420,1.1,2.8,2,24000,170,54000
25,34,2,11.9,7.6,9.4,283,561,3.8,5.7,20,35000,45,54000
12,29,5.7,6.4,7.1,7.6,216,402,1.4,2.7,140,160000,490,160000
25,34,3.2,12.5,7.4,9.4,380,688,3.4,8.3,45,13000,45,24000
25,34,4.2,15.7,7.7,9.5,356,961,3.6,8.2,130,1300,490,9200
25,35,2.1,11.1,6.9,9.3,332,599,3.3,12,45,2400,130,5400
22,26,2.8,12.6,7.3,8.4,392,1334,3.4,9.5,130,1300,490,2800
23,35,3.3,15.6,7.5,9.3,298,745,3.6,8,45,2400,170,4300
28,33,5.2,5.6,7.1,7.5,198,375,1,2.5,2,23,350,1600
29,33,6.7,14.1,7.6,9.1,570,1682,2.8,30,110,500,900,1600
28,32,5.1,9.3,6.3,8,197,283,1,2.3,2,110,2,1600
15,29,6.7,9,7.6,8.1,207,295,1,2.7,320,1300,910,3300
15,29,5.9,9.4,7.5,8.1,188,340,1,3.8,110,1700,490,4100
7,37,7,8.2,7.5,8.3,135,234,1,1,20,40,79,140
23,28,5.9,7.3,7.8,8.7,590,867,1.9,2.8,39,93,75,210
24,29,4.4,5.2,7.9,8.9,730,11113,1.8,4.1,150,460,460,1100
20,28,4.9,5.8,7.6,8.5,480,1283,1.1,3.3,240,460,460,1100
29,29,4,4.4,7.2,7.2,110,279,1,1.4,23,93,64,150
23,28,7.1,7.8,8.3,9,530,777,1.2,2.1,23,75,75,150
24,28,7.2,7.8,8.4,8.9,520,665,1.3,2.4,39,75,64,150
18,30,0.5,4.4,8.5,9.2,1210,2670,3.2,5.9,93,460,210,1100
19,33,3.7,4.4,7.4,8.6,270,435,2.3,3.2,150,240,460,460
21,26,6.9,9,7.3,8.5,270,408,1,2.1,23,93,64,150
18,32,2.1,6.6,7.7,8.6,460,1177,2.1,4.1,150,460,240,1100
14,25.5,4.4,6.7,7.6,8.3,230,420,1.3,3.4,64,150,120,210
20,28,3.3,7.2,7.6,8.9,460,1154,2,3.9,75,240,150,460
22,29,5.8,6.2,7.5,8.5,440,607,1.5,2.3,23,39,39,75
19,29,3.6,8.5,7.3,8,220,390,2.2,4.5,23,93,93,150
17,26,5.2,7.7,8.2,8.9,460,790,1.5,2.6,23,150,93,240
17,27,4.6,7.2,8.3,9.3,450,771,1.2,2.6,75,240,120,460
20,30,5.2,6.6,7.1,8.9,160,292,1,1.7,14,75,20,150
20,27,4.1,5.7,8,8.9,460,790,1,2.4,4,93,120,210
20,28,4.6,6,7.3,8.5,1170,1963,1.4,3.1,93,150,150,240
23,27,7.1,7.9,7.2,8.4,380,532,1.4,2.4,23,64,64,120
17,28,6,7,6.7,7.5,96,147,2,3,14,36,25,96
26,40,6,8.9,7,8.1,475,745,2,3,2,2,2,68
27,37,6,7,7.3,8,929,1410,2,4,2,78,4,230
25,36,5,6.9,6.9,8.2,8330,59400,2,4,2,45,4,230
25,33,5.1,7.1,6.6,8,432,660,2,4,2,20,2,200
17,31,5.7,7.2,6.1,7.1,339,492,1,4.5,38,120,120,330
23,30,6,6.4,6.8,7.9,349,684,1,3,23,46,58,120
20,30,5.3,7,6,7.8,242,371,1,2.2,31,120,110,260
25,39,5,6.7,6.8,7.4,946,2032,2,4,2,20,2,110
20,24,0.3,4.4,6.6,8.4,659,1451,3,16,2,23,80,540
28,29,0.3,1.3,7.1,8.1,1145,1680,5.8,16,14,58,240,430
27,27,2,3.8,7.1,8.2,732,877,3,9,14,63,140,540
27,29,0.7,4.1,7.1,8.5,655,1457,3.4,12,9,36,140,430
28,32,0.3,0.3,7,7.9,995,1519,6.4,16,13,94,280,540
23,30,0.3,4.1,7.3,8.4,688,1191,2.6,6.8,7,39,170,540
20,28,0.3,0.3,6.7,7.9,783,1246,6,18,11,70,210,540
23,30,0.3,2,7.1,8.5,1042,1318,4,12,21,63,280,920
24,25,5.7,6.9,6.4,7.5,385,750,2.1,3,10,17,110,240
20,30,0.3,2.9,7,8.3,1024,1528,4,20,17,36,240,540
27,29,0.3,3.9,7,8.3,1146,1888,2.1,14,11,63,170,540
20,29,1,5.1,7,8.6,846,987,3,6,6,33,21,540
28,30,0.3,2.2,7.2,8.2,1080,1732,6,12,21,63,280,540
27,30,2.2,5,7.3,8.5,377,572,2.1,6,2,33,28,540
22,30,0.3,3.8,7.1,8.2,1048,1821,3.2,18,13,79,94,540
25,30,0.8,3.2,7.6,8.5,1042,1476,3,6,7,54,280,540
20,32,0.3,4.1,7.1,8.4,999,1323,3,10,10,34,220,540
20,30,0.3,3.9,7,8.5,830,1313,4,14,8,33,170,540
21,30,0.3,0.3,7.1,8.4,961,1685,6,10,21,84,430,540
20,29,4.9,6.2,7.3,8.1,388,526,2.1,2.6,2,4,2,110
28,35,0.3,0.9,7,8.4,1773,3194,6,22,26,120,350,920
23.2,32,0.3,2.4,7.4,8,1044,1410,5.8,8,39,120,430,920
25,25,5.9,6.8,6.5,7.3,394,914,2.1,3.6,10,25,120,280
20,35,2.9,5,7.2,8.3,378,671,2.1,4,8,34,110,280
20,30,1.8,5.1,7.1,8.5,554,775,2.1,7,4,27,33,430
27,29,0.3,0.9,7.3,8.5,1269,1942,6,14,21,63,350,540
24,29,0.3,4.1,7.2,8.5,869,1366,3,10,11,49,130,430
20,33,0.3,0.3,6.9,7.6,1045,1769,6,17,10,47,350,540
28,35,1.8,4.4,7,8.4,715,1291,2.1,5.8,11,33,170,540
28,29,5,6.6,6.9,8.4,124,211,2.1,2.6,2,2,4,32
20,30,0.3,1,7.2,8.2,870,1520,4.2,10,7,110,280,540
21,30,3.1,5.4,7.5,8.3,1086,1744,2.4,5.4,3,22,150,350
27,29,0.3,0.3,7.1,7.7,1488,1731,6.2,12,17,63,430,920
20,27,0.3,3.2,6.9,8.5,940,1360,4,10,10,47,140,540
28,35,2.8,5.8,6.7,8,520,1358,2.1,5.4,6,49,170,540
28,28,0.8,5.1,6.7,7.8,543,882,2.1,8,11,33,210,540
28,29,0.3,0.3,7.5,8.2,1481,1983,7,10,47,63,430,540
27,28,1.3,4.2,7.2,8.2,685,1054,3,11,2,47,64,540
20,31,0.9,3.8,7.2,8.4,809,1030,3.2,10,4,84,240,540
18,29,0.3,3,6.7,8.4,682,1244,3.2,11,11,46,140,540
24,29,2,3.8,7.4,8.4,742,1106,2.8,10,11,73,170,540
24,31,0.3,2.9,7.2,8.1,1177,1398,2.2,8,4,84,280,430
21,27,0.3,4,7.2,8.5,366,2188,2.1,18,9,63,79,430
26,42,0.3,3.1,6.8,8.2,1072,1790,3,11,15,63,79,540
27,28,0.3,2,7.1,8,1010,1358,5,13,21,63,430,920
28,32,0.3,2,6.9,8.4,919,1632,5.8,12,17,84,240,540
20,35,0.3,3.8,7.3,8.2,279,1102,2.1,32,4,21,280,430
23,26,5.9,7.1,6.8,7.4,410,670,2.1,3,6,9,21,41
22,32,0.3,3.3,7.5,8.9,1112,1356,3.3,20,17,63,70,540
20,27,0.3,4,7.1,8.6,828,1248,3,10,11,33,150,540
26,35,0.3,2.7,7.2,8.5,1322,2186,6,12,17,84,140,920
25,29,0.3,0.3,7.2,7.9,1384,2436,6.2,22,21,94,430,540
26,28,0.3,0.3,7.2,8.1,1079,1803,6,12,8,63,210,540
19,30,0.3,0.3,7.2,8.1,1193,1745,7,22,14,63,240,540
19,32,0.3,2.6,7.1,7.7,737,1515,4.6,14,21,73,210,430
27,32,0.3,2.2,7.1,8.6,1050,1579,4,22,21,77,280,540
28,34,2.1,4.6,7.3,8.2,1130,1817,8,19,70,220,230,1600
20,28,0.3,3.4,6.8,8.3,623,2440,3.5,14,17,94,170,540
28,29,3.3,5.9,7.1,8.4,527,746,2.1,8,2,31,26,350
20,27,0.3,3.2,7.1,8.3,717,1404,4,15,13,33,160,540
27,28,4.8,6.5,7.5,8.5,136,458,2.1,2.8,2,2,10,39
30,35,0.3,2.4,7.2,8.5,487,868,3,6,8,33,170,540
27,27,5,6.4,7.6,8.3,205,339,2.1,2.3,2,4,15,120
25,25,5.5,6.6,6.7,7.5,548,1072,2.4,5,14,31,170,350
20,32,0.3,4.2,7,8.4,644,920,2.6,8,8,22,80,540
21,30,0.3,1.6,7.1,8.3,1150,1865,6,13,17,84,350,540
21,30,0.3,2.2,7.1,8.3,1224,2627,3,36,17,63,350,540
24,35,0.3,1.2,7.2,8.3,944,1537,5.8,14,21,34,280,540
22,30,0.3,0.3,7,8.1,840,1535,4,22,12,63,140,540
22,29,5.2,6.1,7.4,8.4,498,622,2.1,2.8,2,12,27,280
24,30,1.2,5.9,7.4,8.5,634,1354,2.1,7,14,63,33,540
28,41,0.3,1,7.1,7.8,944,1592,5,14,21,63,430,540
24,25,5.8,6.7,6.9,7.4,418,838,2.1,3.4,12,27,130,280
23,33,0.3,1,6.9,7.9,977,2360,6,16,27,73,350,540
29,38,0.3,0.3,7.1,8.4,1289,1558,6,12,21,33,430,540
27,35,0.3,3.7,6.9,8.4,813,1020,2.1,8,7,57,120,430
27,30,0.3,3.1,7.1,7.8,1312,1604,5,16,9,63,130,540
27,28,0.3,3,7,8.1,1027,2250,5.8,20,27,63,220,920
22,29,0.3,3.8,7.2,8,740,1352,4,19,2,57,220,920
25,29,0.3,0.3,7.3,8.2,925,1500,7.8,12,33,79,350,430
19,24,0.3,1.3,6.4,7.3,4750,15300,31,350,6,14,170,540
27,28,4.1,5.9,7.6,8.5,537,901,2.1,4,2,27,11,220
26,30,2,3.6,7.3,8.5,705,944,2.4,6,7,57,240,430
21,29,0.6,3.2,7,8.3,1225,1609,3.2,8,15,53,210,540
25,35,3,5.1,6.9,8.6,589,873,2.2,4,2,43,120,430
26,28,0.3,1.2,7.4,8.3,1046,1753,6,10,21,47,430,540
27,28,3,5.4,7.2,8.4,566,996,2.1,3.9,2,4,10,130
26,30,0.3,1.2,7.2,8.5,1163,1665,6,12,33,63,430,920
20,29,1,2,7.4,7.9,1144,1605,4,6,43,58,430,540
25,29,0.3,1.8,7.2,8,1020,1505,4.2,15,4,47,350,540
24,28,0.3,2.2,7.2,8.4,628,1679,4,11,11,63,350,540
27,28,0.3,3,7.5,8.5,1450,7050,4,32,2,31,120,350
24,26,5,6,6.5,7.5,998,1347,3.2,6,4,12,79,170
18,22,5,6.2,7.1,7.5,598,1004,2.2,4.5,4,12,36,49
26,33,0.3,0.3,7,8.4,1305,2234,7.4,19,25,84,350,920
28,28,0.3,4.6,7,8.4,706,1355,3.8,18,13,47,110,540
26,26,4.6,6.3,6.7,7.5,795,1687,3.2,6,4,11,49,140
27,29,5.1,6.2,7.9,8.5,253,502,2,2.1,2,17,14,280
24,34,4,5.4,6.7,7.4,3530,5140,10,15,12,27,110,240
19,24,5,6.2,6.8,7.5,1140,1802,5.2,8,4,10,70,140
26,33,0.3,1.2,7.1,8.4,992,2097,5.6,20,11,63,350,540
24,25,3.7,5.4,6.8,7.5,2186,5400,8,22,13,20,110,280
22,30,3.6,6,7.3,8.2,471,1488,2.1,4.2,2,33,17,430
20,25,4,5.6,7,7.3,1428,3964,5,10,2,8,39,63
25,34,4.1,5.4,7.2,7.5,2248,4810,5.4,6.6,6,9,63,150
19,23,5,6.2,6.6,7.6,1624,2895,5.4,9.5,2,8,38,84
25,34,5.4,6.5,7,7.5,495,893,2.7,23,2,6,31,47
27,28,1.5,4,6.8,8.4,788,1090,2.1,6,2,27,21,430
25,26,4.3,5.8,7,7.4,585,1439,4,6,4,9,43,94
28,35,0.3,0.3,7.1,8.3,1244,1615,12,22,15,47,120,540
24,25,5,6.3,6.8,7.5,570,1347,4,6,6,10,58,170
25,27,0.3,0.3,7,8.2,1724,2496,7.6,18,17,94,350,540
24,24,5.4,6.4,6.9,7.4,642,1457,2.1,5,6,12,47,70
27,29,2.6,5.7,7.4,8.6,420,1221,2.1,4,7,34,150,350
28,33,0.3,0.3,7,7.9,921,3030,6,14,17,33,280,1600
24,26,4.5,6.2,6.8,7.5,420,1709,2.2,5.7,2,7,26,70
27,35,0.3,4.6,6.9,8.4,427,1178,2.1,8,4,58,220,430
24,29,0.3,2.6,7.4,8.4,1921,4320,5.2,26,4,21,280,540
27,29,1.7,3.7,7.1,8.6,606,1306,2.1,10,2,27,120,430
24,34,4.6,5.8,7.1,7.4,480,1325,2.5,4,2,9,27,47
24,25,5.1,6.4,6.6,7.5,1023,1898,3.5,6,2,8,47,84
18,23,5.2,6.6,6.8,7.5,689,1180,3,6.2,6,11,34,48
23,29,1.8,6.6,6.7,8.5,344,820,2.1,8,7,27,150,430
28,29,4.1,6.3,7.6,8.5,350,644,2.1,3,2,26,26,350
24,25,5.2,6.6,6.7,7.5,5,1437,2.2,5,8,12,43,84
18,28.5,5.1,5.9,7,7.4,155,200,1,1.6,17,58,94,220
19,30,5.2,5.9,6.6,7.3,121,198,1,2.2,21,63,140,280
19,29,5.2,6.4,7.1,7.5,124,211,1,1.5,13,58,79,210
19,30,5.2,6.2,6.9,7.5,137,198,1,1.8,22,41,120,210
18,29,5.2,6.3,7.1,7.5,152,203,1,1.9,21,58,94,220
18,29,5.3,6.9,6.9,7.3,148,206,1.4,2.3,27,84,150,280
18,29,5.6,6.5,7,7.7,129,181,1,2.1,25,63,150,280
19,28.5,5.1,5.8,6.6,7.5,132,187,1.1,1.7,31,49,170,240
19,28.5,5.4,6.5,6.9,7.5,157,228,1,1.8,17,48,84,170
18.5,29,5.6,6.7,6.7,7.3,139,194,1,1.8,17,46,84,170
18.5,30,5,6.1,6.2,7.3,142,198,1,1.9,15,48,63,210
19,29.5,5.2,6.2,6.9,7.3,143,201,1,2.2,17,58,84,210
19.5,29.5,5.1,6.8,7,7.7,141,220,1.5,2.6,33,93,140,280
18,29,5.1,6,6.9,7.5,143,191,1.1,1.6,27,47,110,210
19,30,5.1,5.9,6.8,7.4,135,198,1,1.9,17,47,110,220
19,29,5.4,6.8,6.9,7.4,134,192,1,1.5,17,63,94,240
19.5,30,1.2,6.2,6.4,8,147,216,3.1,11,47,94,210,430
19,29,5,5.9,6.6,7.2,128,192,1.1,1.9,17,58,84,210
17,24,7.8,8.8,8.1,9,468,539,5.2,6.8,30000,40000,55000,64000
19,26,5.8,7,7.6,8.2,251,371,4,5,3600,4300,6300,7900
18,22,4.5,5.8,7.2,8.4,624,629,6,15,NAN,NAN,NAN,NAN
18,23.2,1.2,4.7,7.5,8.9,1190,1336,16,32,4300,4300,6300,6300
11,23,7.4,9,7.2,8,160,210,1,1.6,70,170,210,540
9,22,7.6,9.6,7.2,7.8,370,440,1,2,140,350,350,920
19,30,7.7,8.6,7,8.1,141,195,1.2,1.7,1100,2200,1400,3900
22.5,34,4,13.1,7.8,8.7,568,763,3.2,8.5,3300,35000,4900,54000
22.5,34,4.5,10.9,7.5,8.6,567,868,3.2,6.9,1400,92000,3300,160000
6,24,5.5,7.8,6.9,7.9,20,97,1,1.8,60,5000,110,13000
21,30,6.8,8.2,6.7,7.6,32,68,1,2.2,400,5000,1300,13000
19,33,6.8,8.9,6.7,8.4,32,128,1.4,2.1,170,2600,700,9000
22.5,34,3.8,12,7.6,8.7,569,775,3.6,7.2,13000,240000,23000,540000
4,24,5.8,6.9,6.5,8,67,196,1.8,2.8,2100,5000,5000,14000
22,31,5.2,9.7,7.2,8.5,252,826,1.8,4.1,330,790,1100,1700
22,32,8.8,9.8,7,7.6,311,422,2.7,7.3,3100,9400,4300,12000
7,16,7.1,8.1,6.9,7.6,13,29,1,1.1,70,110,110,210
9,24,7.2,8.2,6.9,7.6,20,36,1,1.8,60,130,110,330
8,18,7.1,8.5,6.9,7.9,16,73,1,1.6,70,110,110,330
