Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean
28.3,6.7,6.3,54.0,136.0,610.0
29.1,4.3,7.2,113.0,188.0,796.0
28.7,4.6,6.7,12561.0,72.0,171.0
28.5,7.7,6.9,61.0,88.0,554.0
26.6,5.8,6.5,61.0,70.0,151.0
31.0,4.5,6.9,1614.0,131.0,230.0
30.5,6.9,7.2,20950.0,113.0,643.0
28.8,6.6,7.0,14487.0,55.0,103.0
25.3,6.9,7.5,54.0,319.0,1633.0
25.9,5.5,7.6,569.0,18.0,141.0
26.5,5.4,7.8,310.0,7.0,107.0
18.9,7.1,7.8,516.0,2.0,1238.0
20.5,6.9,8.0,505.0,2.0,1563.0
27.1,7.3,7.3,109.0,18.0,65.0
26.3,7.5,7.5,83.0,22.0,74.0
29.1,6.4,7.2,102.0,137.0,1223.0
28.4,6.5,7.1,92.0,155.0,1342.0
24.7,7.7,7.9,232.0,30790.0,40500.0
24.4,7.5,7.8,519.0,38700.0,53556.0
22.7,7.3,7.2,103.0,4871.0,13810.0
24.8,7.4,7.9,196.0,5323.0,15213.0
24.0,7.4,7.8,244.0,20880.0,12473.0
22.8,7.5,8.0,243.0,8780.0,30319.0
26.8,7.2,8.0,296.0,1468.0,4314.0
27.4,6.6,7.8,25034.0,1671.0,4224.0
25.3,7.5,7.9,194.0,2906.0,8559.0
27.1,7.4,7.9,170.0,4948.0,16709.0
29.0,,7.3,386.0,,
25.0,5.9,7.9,21600.0,,
25.0,6.5,7.3,21600.0,,
25.0,6.5,7.7,26600.0,,
32.0,6.0,7.1,13000.0,,
29.3,6.5,7.4,1063.0,177.0,374.0
22.8,6.8,6.6,63.0,11.0,36.0
24.5,6.6,6.4,101.0,13.0,41.0
25.5,6.6,6.5,136.0,13.0,45.0
29.0,6.7,6.9,226.0,12.0,38.0
23.8,6.7,6.3,72.0,9.0,32.0
22.8,6.7,6.4,61.0,10.0,34.0
29.0,6.6,7.2,1300.0,21.0,60.0
29.0,6.7,7.0,461.0,17.0,51.0
23.0,6.6,6.2,69.0,11.0,38.0
29.0,6.8,6.9,241.0,14.0,48.0
25.7,6.5,6.6,159.0,11.0,41.0
25.7,6.6,6.7,170.0,10.0,34.0
24.3,0.9,7.6,2039.0,272521616.0,511090873.0
,,,,,
22.7,5.8,7.2,640.0,1450.0,4073.0
19.0,4.8,7.6,1090.0,30500.0,52500.0
23.0,5.5,7.3,705.0,2020.0,5433.0
24.0,5.1,7.4,1375.0,27333.0,50333.0
24.7,5.5,7.4,745.0,12167.0,29333.0
25.0,5.0,7.6,975.0,11167.0,21667.0
22.0,4.9,7.7,1385.0,42500.0,72000.0
24.3,5.0,7.3,1067.0,21467.0,39533.0
23.3,5.3,7.2,970.0,3167.0,7133.0
19.5,4.9,7.7,1418.0,28000.0,49500.0
21.5,4.1,7.5,1015.0,35000.0,57500.0
20.0,4.8,7.4,854.0,20500.0,38000.0
,,8.2,,,
,,7.9,,,
32.6,4.0,6.8,370.0,4.0,9.0
23.6,7.8,7.8,376.0,9.0,17.0
23.9,7.7,7.7,354.0,12.0,22.0
24.5,7.6,7.9,344.0,12.0,22.0
,,7.2,,,
18.1,4.4,7.1,694.0,92.0,224.0
25.1,5.9,8.0,401.0,4.0,15.0
22.3,6.0,7.2,106.0,4.0,15.0
23.7,5.6,7.9,326.0,4.0,4.0
23.9,6.2,8.1,592.0,4.0,6.0
25.5,7.2,7.5,119.0,33.0,74.0
25.1,7.2,7.5,120.0,31.0,67.0
25.2,7.5,7.3,82.0,30.0,70.0
23.2,7.5,7.5,111.0,293.0,506.0
20.1,5.3,3.3,831.0,18.0,36.0
18.3,7.2,7.2,56.0,21.0,42.0
19.3,7.5,7.2,66.0,22.0,44.0
24.0,7.8,7.0,74.0,28.0,108.0
20.5,6.7,2.7,1350.0,7.0,16.0
21.2,7.3,6.6,274.0,176.0,386.0
26.3,7.4,7.3,67.0,25.0,55.0
25.5,7.2,7.4,82.0,26.0,61.0
20.0,7.3,7.1,55.0,24.0,53.0
20.3,7.3,7.1,57.0,24.0,50.0
19.4,6.6,7.1,114.0,2142.0,3108.0
21.0,7.3,5.6,56.0,16.0,34.0
19.2,5.1,7.0,105.0,351.0,780.0
18.3,7.3,7.1,51.0,19.0,40.0
19.6,7.7,7.2,50.0,19.0,36.0
23.7,7.6,7.3,115.0,301.0,528.0
18.2,6.2,7.0,81.0,36.0,79.0
18.8,7.2,7.1,66.0,28.0,63.0
18.9,7.4,7.1,57.0,13.0,40.0
25.1,7.5,7.4,144.0,26.0,59.0
18.8,7.1,7.1,63.0,22.0,48.0
20.2,7.3,7.2,65.0,24.0,48.0
20.0,7.3,7.3,65.0,25.0,54.0
18.5,1.5,6.9,345.0,23232.0,34251.0
18.8,3.9,7.1,233.0,13174.0,22223.0
18.3,1.0,7.2,376.0,48665.0,83554.0
18.5,0.9,7.2,506.0,64250.0,106333.0
18.2,7.2,7.0,66.0,28.0,60.0
22.1,7.7,7.2,62.0,27.0,59.0
17.6,7.3,6.9,61.0,25.0,52.0
18.7,1.2,7.1,380.0,51583.0,94083.0
18.7,3.2,7.1,258.0,31833.0,54083.0
23.1,7.2,7.2,124.0,348.0,552.0
22.6,7.2,7.1,65.0,56.0,120.0
20.0,7.5,7.3,64.0,21.0,42.0
19.9,7.6,7.3,65.0,21.0,43.0
24.5,7.1,7.3,269.0,,115.0
24.4,7.2,7.3,275.0,4.0,68.0
23.6,6.9,7.1,186.0,,29.0
23.5,6.8,7.1,201.0,,86.0
27.3,6.2,7.8,165.0,282.0,340.0
29.1,6.4,7.8,158.0,458.0,500.0
26.6,6.6,7.9,210.0,510.0,572.0
,,0.0,208.0,,
27.1,7.3,7.9,693.0,161.0,173.0
27.3,5.0,7.6,1676.0,329.0,174.0
,,0.0,506.0,26.0,227.0
24.5,6.0,7.7,1863.0,47.0,1183.0
,,,24300.0,22474.0,24.0
27.5,5.3,7.8,817.0,9.0,23.0
28.3,4.3,7.8,2307.0,,1817.0
28.4,4.5,8.3,1287.0,116.0,5.0
,,,,,2.0
27.6,6.8,8.2,1862.0,7.0,64.0
