sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,Cond @ 25C,Oxygen Diss,Temp Water,pH,TurbidityNTU,Tot Coli CMF,E.coli Pres,E.coli Conf,E.coli C-MF,E.coli PMF,Colfm PMF10,E.coli C-MPN,ColfmF Conf,Colfrm Conf,ColfmF MF10,ColformsPre,F Coli Pre,,
SW-81520350,RIVER FOWEY AT BODITHIEL BRIDGE,2022-02-02T10:54:00,93,11.8,8.9,7.24,1.1,,,,63,,,,,,,,,,
SW-81520166,RIVER FOWEY AT RESTORMEL,2022-02-02T09:59:00,113,11.8,9.1,7.15,1,,,,110,,,,,,,,,,
SW-81520205,RIVER FOWEY AT RESPRYN BRIDGE,2022-02-02T09:37:00,110,11.8,9.1,7.1,1.1,,,,210,,,,,,,,,,
SW-82528110,RIVER CAMEL AT TRECARNE BRIDGE,2022-02-01T13:55:00,151,11.5,9.5,7.14,2,,,,1900,,,,,,,,,,
SW-82528154,RIVER CAMEL AT CAMELFORD BRIDGE,2022-02-01T13:13:00,153,11.6,9.6,7.58,1.5,,,,2400,,,,,,,,,,
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2022-02-01T11:27:00,458,12.1,7.2,8.32,8.2,,,,420,,,,,,,,,,
SW-82528005,RIVER CAMEL AT POLBROCK,2022-02-01T11:15:00,179,11.4,9,7.43,1,,,,370,,,,,,,,,,
NE-49705106,WHARFE AT ADDINGHAM,2022-01-25T15:14:00,298,14.3,4.6,8.39,1.8,,,,150,,,,,,,,,,
NE-49705092,FIR BECK AT HAUGH BRIDGE,2022-01-25T14:21:00,311,12.7,5.6,8.17,1.1,,,,45,,,,,,,,,,
NE-49700224,DIBB AT HARTLINGTON BRIDGE,2022-01-25T13:54:00,64,13.3,3.9,7.59,5,,,,99,,,,,,,,,,
NE-49705101,BLEA BECK U/S GRIMWITH RESERVOIR,2022-01-25T12:57:00,55,13.7,2.4,7.46,8.9,,,,18,,,,,,,,,,
MD-57403450,RIVER MANIFOLD - ILAM,2022-01-24T10:42:00,485,11,7,7.7,9.6,,,,220,,,,,,,,,,
MD-57464620,RIVER HAMPS - WINKHILL,2022-01-24T10:10:00,311,11.3,3.5,8,5.6,,,,680,,,,,,,,,,
NW-88004397,RIVER KENT AT SEDGEWICK,2022-01-18T13:10:00,197,12.6,6,7.9,1,,,,470,,,,,,,,,,
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2022-01-18T11:16:00,77,13.4,3.9,7.49,1,,,,10,,,,,,,,,,
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2022-01-18T10:59:00,84,13,4.2,7.4,1.1,,,,10,,,,,,,,,,
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2022-01-18T10:48:00,90,11.9,6.9,7.26,1,,,,10,,,,,,,,,,
SO-E0007051,SWALECLIFFE BROOK,2022-01-13T09:48:00,740,12.9,4.6,8.12,59,,,,3900,,,,,,,,,,
SW-82528110,RIVER CAMEL AT TRECARNE BRIDGE,2022-01-11T13:16:00,144,11.1,10.6,7.25,3.1,,,,1200,,,,,,,,,,
SW-82528154,RIVER CAMEL AT CAMELFORD BRIDGE,2022-01-11T12:51:00,151,11.2,10.3,7.26,1.9,,,,3200,,,,,,,,,,
SW-82528005,RIVER CAMEL AT POLBROCK,2022-01-11T10:29:00,162,10.6,10.5,7.31,1.7,,,,670,,,,,,,,,,
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2022-01-10T12:48:00,372,11,8,7.99,31,,,,2400,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2022-01-06T13:45:00,238,12.5,3.8,7.42,7.6,,,,700,,,,,,,,,,
SW-81520166,RIVER FOWEY AT RESTORMEL,2022-01-04T15:00:00,117,10.8,9.2,7.18,1.7,,,,200,,,,,,,,,,
SW-81520205,RIVER FOWEY AT RESPRYN BRIDGE,2022-01-04T14:15:00,114,10.8,9.2,7.2,1.2,,,,360,,,,,,,,,,
SW-81520348,RIVER FOWEY AT HALFWAY HOUSE BRIDGE,2022-01-04T13:50:00,99,10.9,9,7.25,1,,,,1300,,,,,,,,,,
SW-81520350,RIVER FOWEY AT BODITHIEL BRIDGE,2022-01-04T13:00:00,101,11,9.1,7.28,1.2,,,,930,,,,,,,,,,
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2022-01-04T12:00:00,89,11.2,8.9,7.01,1,,,,18,,,,,,,,,,
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2022-01-04T10:56:00,77,10.9,8.7,6.87,1.4,,,,110,,,,,,,,,,
SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,2022-01-04T10:55:00,169,10.9,9,7.58,7.6,,,,230,,,,,,,,,,
NE-49705106,WHARFE AT ADDINGHAM,2021-12-15T13:59:00,275,12.5,7.9,8.17,1.9,,,,160,,,,,,,,,,
NE-49705092,FIR BECK AT HAUGH BRIDGE,2021-12-15T13:17:00,255,11.9,8.4,8.08,1.4,,,,140,,,,,,,,,,
NE-49700224,DIBB AT HARTLINGTON BRIDGE,2021-12-15T12:53:00,166,12.4,7,7.82,2.8,,,,120,,,,,,,,,,
NE-49705101,BLEA BECK U/S GRIMWITH RESERVOIR,2021-12-15T12:16:00,32,12.5,6.4,6.37,2.9,,,,10,,,,,,,,,,
SW-81520166,RIVER FOWEY AT RESTORMEL,2021-12-09T15:15:00,126,11.1,8.9,7.11,1.7,,,,940,,,,,,,,,,
SW-81520205,RIVER FOWEY AT RESPRYN BRIDGE,2021-12-09T14:45:00,123,11,8.9,7.11,6.8,,,,450,,,,,,,,,,
SW-81520348,RIVER FOWEY AT HALFWAY HOUSE BRIDGE,2021-12-09T14:15:00,110,10.7,8.8,6.95,1.3,,,,580,,,,,,,,,,
SW-81520350,RIVER FOWEY AT BODITHIEL BRIDGE,2021-12-09T13:40:00,113,11.5,8.8,7.23,1.4,,,,910,,,,,,,,,,
SW-81522725,ST NEOT RIVER AT ST NEOT BRIDGE,2021-12-09T13:05:00,98,11.4,9.2,6.6,1.7,,,,230,,,,,,,,,,
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2021-12-09T12:45:00,93,11.7,8.5,6.88,1,,,,45,,,,,,,,,,
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2021-12-09T11:25:00,78,11.4,7.3,6.47,1,,,,72,,,,,,,,,,
SW-81523404,SIBLYBACK STREAM AT TREKEIVESTEPS BRIDGE,2021-12-09T11:05:00,72,11.9,6.2,6.87,2.2,,,,99,,,,,,,,,,
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2021-12-09T10:50:00,80,11.1,7.5,6.58,1,,,,90,,,,,,,,,,
SW-82528005,RIVER CAMEL AT POLBROCK,2021-12-07T15:01:00,154,9.72,9.2,7.18,37,,,,9200,,,,,,,,,,
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2021-12-07T15:00:00,665,11.7,4.2,7.97,6.4,,,,1700,,,,,,,,,,
SW-82528110,RIVER CAMEL AT TRECARNE BRIDGE,2021-12-07T12:02:00,142,10.4,9.3,6.99,63,,,,10000,,,,,,,,,,
SW-82528154,RIVER CAMEL AT CAMELFORD BRIDGE,2021-12-07T11:04:00,146,10.8,9.1,7.17,83,,,,6100,,,,,,,,,,
SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,2021-12-07T10:12:00,176,12.2,7.5,8.09,8.9,,,,1100,,,,,,,,,,
SO-E0007051,SWALECLIFFE BROOK,2021-12-07T09:58:00,710,13.3,5,8.23,99,,,,1200,,,,,,,,,,
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2021-12-06T14:30:00,80,10.9,7.6,6.91,1,,,,18,,,,,,,,,,
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2021-12-06T13:55:00,74,12.6,4.4,7.32,1.3,,,,10,,,,,,,,,,
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2021-12-06T13:40:00,76,12.9,4.1,7.53,1.2,,,,45,,,,,,,,,,
NW-88004397,RIVER KENT AT SEDGEWICK,2021-12-06T12:05:00,162,12.4,6.4,7.82,2.1,,,,2300,,,,,,,,,,
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2021-12-06T11:00:00,493,11.6,6.4,8.09,8.1,,,,2300,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2021-12-01T10:51:00,166,11.3,7.2,7.38,64,,,,6000,,,,,,,,,,
MD-57464620,RIVER HAMPS - WINKHILL,2021-12-01T09:40:00,235,12.2,6.5,7.76,22,,,,3200,,,,,,,,,,
MD-57403450,RIVER MANIFOLD - ILAM,2021-12-01T09:13:00,246,11.9,7,7.73,31,,,,3200,,,,,,,,,,
MD-54520250,RIVER DOVE  DOVEDALE,2021-12-01T09:00:00,323,11.9,7.5,7.92,31,,,,2200,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2021-11-30T11:50:00,248,12.1,6.4,7.7,6.5,,,,2200,,,,,,,,,,
NE-49705106,WHARFE AT ADDINGHAM,2021-11-16T15:28:00,302,11.6,9.3,8.18,1.7,,,,210,,,,,,,,,,
NE-49705092,FIR BECK AT HAUGH BRIDGE,2021-11-16T14:41:00,277,11.4,9.2,8.1,1.2,,,,210,,,,,,,,,,
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2021-11-16T14:20:00,692,10.8,9.5,8,2.6,,,,72,,,,,,,,,,
NE-49700224,DIBB AT HARTLINGTON BRIDGE,2021-11-16T14:19:00,139,11.5,9.1,7.82,2.3,,,,440,,,,,,,,,,
NE-49705101,BLEA BECK U/S GRIMWITH RESERVOIR,2021-11-16T13:17:00,47,11.8,8.2,7.13,2.1,,,,72,,,,,,,,,,
NW-88004397,RIVER KENT AT SEDGEWICK,2021-11-15T14:50:00,166,11,10.2,7.72,5,,,,560,,,,,,,,,,
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2021-11-15T13:05:00,86,9.77,10.3,6.89,1,,,,10,,,,,,,,,,
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2021-11-15T12:30:00,75,10.8,9.1,7.23,1,,,,36,,,,,,,,,,
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2021-11-15T12:15:00,73,11,8.9,7.42,1.2,,,,27,,,,,,,,,,
SW-81520166,RIVER FOWEY AT RESTORMEL,2021-11-09T15:45:00,111,10.2,11.7,7.16,1.3,,,,240,,,,,,,,,,
SW-81520205,RIVER FOWEY AT RESPRYN BRIDGE,2021-11-09T15:15:00,109,10.3,11.6,7.21,1.7,,,,290,,,,,,,,,,
SW-81520348,RIVER FOWEY AT HALFWAY HOUSE BRIDGE,2021-11-09T14:30:00,96,10.8,11.8,7.23,1.3,,,,500,,,,,,,,,,
SW-81520350,RIVER FOWEY AT BODITHIEL BRIDGE,2021-11-09T14:15:00,99,10.6,11.8,7.23,1,,,,390,,,,,,,,,,
SO-E0007051,SWALECLIFFE BROOK,2021-11-09T13:35:00,1521,10.1,11.1,8.08,6.8,,,,1500,,,,,,,,,,
SW-81522725,ST NEOT RIVER AT ST NEOT BRIDGE,2021-11-09T13:25:00,92,10.6,11.8,6.77,1.5,,,,45,,,,,,,,,,
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2021-11-09T12:55:00,86,10.9,11.6,6.96,1.1,,,,18,,,,,,,,,,
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2021-11-09T11:35:00,75,10.2,11.1,6.54,1.1,,,,120,,,,,,,,,,
SW-81523404,SIBLYBACK STREAM AT TREKEIVESTEPS BRIDGE,2021-11-09T11:20:00,69,11.1,10.7,6.79,1.9,,,,54,,,,,,,,,,
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2021-11-09T11:00:00,74,10.3,11.1,6.22,1,,,,90,,,,,,,,,,
SW-81020105,R YEALM AT PUSLINCH GAUGING STN,2021-11-08T11:21:00,454,11,10.5,8.04,3.8,,,,850,,,,,,,,,,
SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,2021-11-08T09:35:00,166,10.7,9.9,7.55,7.5,,,,1100,,,,,,,,,,
MD-54520250,RIVER DOVE  DOVEDALE,2021-11-05T10:34:00,445,12.2,7.1,8.16,2.4,,,,210,,,,,,,,,,
MD-57403450,RIVER MANIFOLD - ILAM,2021-11-05T10:10:00,401,10.4,8.4,7.54,2.9,,,,420,,,,,,,,,,
MD-57464620,RIVER HAMPS - WINKHILL,2021-11-05T09:40:00,348,12.4,5.4,8.15,4.6,,,,1000,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2021-11-03T11:10:00,196,8.8,8.7,7.14,26,,,,5000,,,,,,,,,,
SW-82528110,RIVER CAMEL AT TRECARNE BRIDGE,2021-11-02T12:38:00,138,9.61,10.9,7.05,3.6,,,,1000,,,,,,,,,,
SW-82528154,RIVER CAMEL AT CAMELFORD BRIDGE,2021-11-02T11:28:00,143,9.71,10.9,7.17,2.2,,,,2200,,,,,,,,,,
SW-82528005,RIVER CAMEL AT POLBROCK,2021-11-02T10:25:00,155,9.51,9.8,7.07,3.5,,,,3900,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2021-10-29T09:25:00,194,9.56,12.2,8.37,16,,,,12000,,,,,,,,,,
SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,2021-10-26T09:15:00,175,10.8,11.8,7.44,6.2,,,,790,,,,,,,,,,
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2021-10-25T12:25:00,696,10.1,11.5,8.12,3.8,,,,120,,,,,,,,,,
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2021-10-20T12:00:00,288,7.52,14.5,7.6,46,,,,76000,,,,,,,,,,
NE-49705106,WHARFE AT ADDINGHAM,2021-10-19T16:20:00,224,10.3,12.4,8.17,3.4,,,,1800,,,,,,,,,,
NE-49705092,FIR BECK AT HAUGH BRIDGE,2021-10-19T15:33:00,259,10.1,12.7,8.08,6.1,,,,5400,,,,,,,,,,
NE-49700224,DIBB AT HARTLINGTON BRIDGE,2021-10-19T15:14:00,146,9.97,13.2,7.98,3.6,,,,3600,,,,,,,,,,
NE-49705101,BLEA BECK U/S GRIMWITH RESERVOIR,2021-10-19T14:11:00,37,10.5,11.7,4.84,12,,,,1300,,,,,,,,,,
MD-57464620,RIVER HAMPS - WINKHILL,2021-10-19T08:57:00,320,9.98,12.6,7.95,14,,,,5700,,,,,,,,,,
SW-81520166,RIVER FOWEY AT RESTORMEL,2021-10-18T14:02:00,58,9.75,13.2,7.23,2.6,,,,1300,,,,,,,,,,
SW-81520205,RIVER FOWEY AT RESPRYN BRIDGE,2021-10-18T13:21:00,104,9.1,13.1,7.24,4.7,,,,1200,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2021-10-18T12:55:00,191,10,12.2,7.56,7.7,,,,2700,,,,,,,,,,
SW-81520348,RIVER FOWEY AT HALFWAY HOUSE BRIDGE,2021-10-18T12:42:00,94,9.18,13.1,6.95,2.7,,,,1000,,,,,,,,,,
SW-81520350,RIVER FOWEY AT BODITHIEL BRIDGE,2021-10-18T12:03:00,94,10.6,13.3,7.34,3.2,,,,920,,,,,,,,,,
SW-81522725,ST NEOT RIVER AT ST NEOT BRIDGE,2021-10-18T11:22:00,81,10.3,13.9,6.97,14,,,,30000,,,,,,,,,,
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2021-10-18T10:59:00,98,10.4,12.8,7.1,3.2,,,,510,,,,,,,,,,
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2021-10-18T10:01:00,77,9.37,12.6,6.85,1.4,,,,560,,,,,,,,,,
SW-81523404,SIBLYBACK STREAM AT TREKEIVESTEPS BRIDGE,2021-10-18T09:39:00,70,10.1,13.5,7.15,2.1,,,,54,,,,,,,,,,
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2021-10-18T09:14:00,77,9.56,12.3,6.58,1.3,,,,770,,,,,,,,,,
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2021-10-11T14:10:00,85,10.3,11.5,6.85,1,,,,10,,,,,,,,,,
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2021-10-11T13:40:00,78,10.7,12,7.25,1.1,,,,63,,,,,,,,,,
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2021-10-11T13:20:00,72,10.9,12,7.35,1.1,,,,36,,,,,,,,,,
NW-88004397,RIVER KENT AT SEDGEWICK,2021-10-11T12:00:00,170,11.3,10.9,7.9,1,,,,860,,,,,,,,,,
SO-E0007051,SWALECLIFFE BROOK,2021-10-07T08:36:00,789,8.04,12.6,7.76,18,,,,3000,,,,,,,,,,
SW-82528110,RIVER CAMEL AT TRECARNE BRIDGE,2021-10-04T12:19:00,143,10.6,12.1,7.34,3.8,,,,1700,,,,,,,,,,
SW-82528154,RIVER CAMEL AT CAMELFORD BRIDGE,2021-10-04T11:35:00,153,10.6,12.1,7.6,2.4,,,,4200,,,,,,,,,,
SW-82528005,RIVER CAMEL AT POLBROCK,2021-10-04T10:21:00,154,10.8,11.8,7.6,2.1,,,,880,,,,,,,,,,
SO-E0007051,SWALECLIFFE BROOK,2021-09-14T10:28:00,1210,8.02,17,8.25,2.7,,,,2100,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2021-09-06T15:37:00,284,9.69,17.6,8.02,2.3,,,,240,,,,,,,,,,
SO-E0007051,SWALECLIFFE BROOK,2021-07-05T10:45:00,627,7.86,15.9,7.88,61,,,,6300,,,,,,,,,,
SW-82114960,PENZANCE (30400),2021-06-08T11:15:00,628,7.83,14.4,7.7,7.6,,,,10,,,,,,,,,,
SO-E0007051,SWALECLIFFE BROOK,2021-05-10T11:31:00,965,7.89,12.5,8.05,8,,,,3000,,,,,,,,,,
MD-51974020,MONKSDALE STREAM AT MILLERS DALE,2020-03-18T12:11:00,550,12,8.4,8.2,1.4,,,,54,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2020-03-03T11:10:00,240,11.6,5.3,7.99,11,,,,910,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2020-02-04T10:40:00,233,11.2,5.7,7.52,16,,,,2400,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2020-01-10T12:01:00,223,11.7,5.6,7.57,14,,,,1500,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2019-12-09T13:37:00,202,10.5,6.4,7.28,22,,,,2500,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2019-11-08T09:40:00,109,10.9,6.7,7.66,23.5,,,,5000,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2019-10-01T10:25:00,137,9.29,12,7.37,11,,,,5300,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2019-09-23T15:45:00,1463,9.61,17.7,8.91,4.7,,,,290,,,,,,,,,,
TH-PGWLN999,ENCLOSED WATER / LAKE N.C.R.S (N),2019-09-23T13:38:00,1462,10.6,18.4,8.97,4.7,,,,580,,,,,,,,,,
TH-PGWLN999,ENCLOSED WATER / LAKE N.C.R.S (N),2019-09-23T13:17:00,1464,9.55,17.9,8.9,4.3,,,,250,,,,,,,,,,
TH-PGWLN999,ENCLOSED WATER / LAKE N.C.R.S (N),2019-09-23T12:21:00,1622,12.6,17.6,10.14,3.2,,,,99,,,,,,,,,,
TH-PGWLN999,ENCLOSED WATER / LAKE N.C.R.S (N),2019-09-23T12:03:00,1527,9.01,17.4,8.71,2.1,,,,63,,,,,,,,,,
TH-PGWLN999,ENCLOSED WATER / LAKE N.C.R.S (N),2019-09-23T11:46:00,1456,9.84,17.2,7.86,2.9,,,,250,,,,,,,,,,
TH-PGWLN999,ENCLOSED WATER / LAKE N.C.R.S (N),2019-09-23T11:08:00,1469,7.74,17.7,8.79,3.5,,,,160,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2019-09-23T10:25:00,1463,8.28,17.6,8.85,4.5,,,,320,,,,,,,,,,
SW-82410208,GANNEL ESTUARY DOWNSTREAM OF FERN PIT,2019-09-10T12:25:00,126,11.4,13.9,7.6,2.2,,,,1800,,,,,,,,,,
SW-70814894,HOPE COVE BEACH (25400),2019-09-06T14:05:00,160,10.1,13.1,7.66,5,,,,10,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2019-08-08T15:02:00,246,8.67,18.5,7.77,5,,,,620,,,,,,,,,,
SW-60030166,RIVER BRUE AT BASONBRIDGE,2019-08-02T11:52:00,791,6.91,21.4,7.93,1.9,,,,81,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2019-08-02T10:32:00,184,7.75,16.8,7.77,15.5,,,,3600,,,,,,,,,,
SW-82211501,STENNACK STM AT CULVERT BY LB STATION,2019-07-02T11:45:00,353,7.1,14.5,7.11,18,,,,520,,,,,,,,,,
SW-70920104,RIVER ERME AT SEQUERS BRIDGE,2019-06-06T14:40:00,300,11.6,13,8.02,3.3,,,,520,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2019-05-03T11:39:00,193,9.83,11.6,7.95,6.9,,,,1364,,,,,,,,,,
SW-70920104,RIVER ERME AT SEQUERS BRIDGE,2019-05-01T11:15:00,204,10.3,11.6,7.87,2.1,,,,230,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2019-04-01T12:11:00,240,10.7,8.1,7.88,4.1,,,,600,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2019-03-06T12:55:00,186,11.4,7.6,7.37,71.5,,,,4900,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2019-02-06T11:03:00,249,11.8,5.1,7.45,32.9,,,,1545,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2019-01-03T12:30:00,243,12.2,4.5,8.09,6.4,,,,310,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2018-12-03T12:30:00,216,11,8.8,7.33,18.4,,,,1182,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2018-11-09T10:56:00,232,10.6,8.7,7.62,7,,,,2000,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2018-10-04T13:59:00,230,9.41,12.7,8.02,3,,,,450,,,,,,,,,,
SW-73110930,ROSEA STREAM PTCW RIVER UMBER,2018-09-04T12:15:00,268,9.11,16.3,7.81,4.6,,,,420,,,,,,,,,,
SW-70920104,RIVER ERME AT SEQUERS BRIDGE,2018-09-04T10:15:00,188,9.31,16.1,7.74,1.6,,,,600,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2018-08-03T13:33:00,392,6.44,19.4,7.78,3.7,,,,171,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2018-07-04T10:15:00,443,8.29,20.2,8.4,4.1,,,,36,,,,,,,,,,
SW-70614872,PAIGNTON (PRESTON SANDS) (24000),2018-06-04T11:10:00,358,5.75,18.4,7.78,4.6,,,,10,,,,,,,,,,
SW-82310103,RED RIVER AT GWITHIAN TOWANS,2018-05-21T14:15:00,369,10,14,7.51,10.9,,,,27,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2018-05-09T12:50:00,317,9.96,13.7,7.88,3.3,,,,1036,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2018-04-04T13:31:00,198,10.8,7.6,7.44,50.8,,,,20000,,,,,,,,,,
NE-42100204,DRAIN AT KILN POINT,2018-03-22T12:02:00,885,9.75,8.8,7.29,5.1,,,,10,,,,,,,,,,
NE-42100245,WAREN BURN U/S WEIR (EL SUB STATION),2018-03-22T11:30:00,496,12.5,6.7,8.18,8.6,,,,108,,,,,,,,,,
NE-42100238,COCKLE RIDGE REED BED OUTFLOW,2018-03-22T10:22:00,775,11.8,7.7,8.11,11.7,,,,36,,,,,,,,,,
NE-42100113,"FOULWORK BURN @ FOOTBRIDGE, FENHAM FLATS",2018-03-21T11:50:00,717,12.2,5.7,7.9,8,,,,838,,,,,,,,,,
NE-42100252,MILL BURN AT FENHAM OLD MILL,2018-03-21T10:20:00,687,11,5,8.25,9,,,,10,,,,,,,,,,
NE-42100247,BEAL CAST AT FOOTBRIDGE (U/S BLACK LOW),2018-03-21T10:08:00,1214,10.7,5.1,7.43,37.4,,,,144,,,,,,,,,,
NE-41000002,SOUTH LOW AT TIDAL SLUICE,2018-03-20T14:10:00,697,11.9,6.3,7.71,35.5,,,,775,,,,,,,,,,
NE-41000232,NORTH LOW OPP SHEEPFOLD N OF GOSWICK,2018-03-20T12:44:00,654,12.6,5.5,7.83,20.3,,,,360,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2018-03-09T11:16:00,353,12.4,4.5,7.74,23.3,,,,4700,,,,,,,,,,
NE-42100245,WAREN BURN U/S WEIR (EL SUB STATION),2018-02-06T12:50:00,637,13.1,3.5,8.29,4.4,,,,330,,,,,,,,,,
NE-42100238,COCKLE RIDGE REED BED OUTFLOW,2018-02-06T11:28:00,888,11.9,2.9,8.32,10.7,,,,153,,,,,,,,,,
NE-42100204,DRAIN AT KILN POINT,2018-02-06T10:50:00,927,10,5.9,7.5,1.2,,,,10,,,,,,,,,,
NE-42100246,ROSS LOW U/S TIDAL SLUICE,2018-02-05T14:34:00,697.8,11.5,3.8,8.12,4.8,,,,1273,,,,,,,,,,
NE-42100113,"FOULWORK BURN @ FOOTBRIDGE, FENHAM FLATS",2018-02-05T12:00:00,992,14.3,3.5,8.2,7.2,,,,180,,,,,,,,,,
NE-42100252,MILL BURN AT FENHAM OLD MILL,2018-02-05T10:48:00,747.8,11.9,4.7,8.22,15.2,,,,260,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2018-02-05T10:45:00,282,11.8,3.5,7.87,8.6,,,,570,,,,,,,,,,
NE-42100407,HOLY IS & BUDLE BAY PROJ MISC LOCATIONS,2018-02-05T10:14:00,3354,9.51,6,7.58,4.2,,,,10,,,,,,,,,,
NE-42100247,BEAL CAST AT FOOTBRIDGE (U/S BLACK LOW),2018-02-05T09:59:00,2711,10,2.9,7.48,31.6,,,,45,,,,,,,,,,
NE-42100245,WAREN BURN U/S WEIR (EL SUB STATION),2018-01-11T13:33:00,492.4,12.9,5.6,8.37,9.2,,,,171,,,,,,,,,,
NE-42100204,DRAIN AT KILN POINT,2018-01-11T11:52:00,910,11.1,6.5,7.4,4.3,,,,36,,,,,,,,,,
NE-42100238,COCKLE RIDGE REED BED OUTFLOW,2018-01-10T14:50:00,775,10.2,5,7.95,15.7,,,,6800,,,,,,,,,,
NE-42100246,ROSS LOW U/S TIDAL SLUICE,2018-01-10T13:43:00,547,11.1,5.2,7.2,11.1,,,,20000,,,,,,,,,,
NE-42100113,"FOULWORK BURN @ FOOTBRIDGE, FENHAM FLATS",2018-01-10T12:50:00,799,10.8,5.6,7.9,14.4,,,,2400,,,,,,,,,,
NE-42100252,MILL BURN AT FENHAM OLD MILL,2018-01-10T11:50:00,587,12.4,5.3,7.77,18.8,,,,490,,,,,,,,,,
NE-42100247,BEAL CAST AT FOOTBRIDGE (U/S BLACK LOW),2018-01-10T11:22:00,1361,10.2,5.3,7.53,42.5,,,,198,,,,,,,,,,
NE-41000002,SOUTH LOW AT TIDAL SLUICE,2018-01-09T15:11:00,892.7,11.9,4.4,7.85,18.4,,,,1622,,,,,,,,,,
NE-42100210,SOUTH LOW U/S CAUSEWAY,2018-01-09T14:45:00,2394,12.8,4.2,8.1,23.2,,,,2700,,,,,,,,,,
