sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,Cond @ 25C,Oxygen Diss,Temp Water,pH,TurbidityNTU,Tot Coli CMF,E.coli Pres,E.coli Conf,E.coli C-MF,E.coli PMF,Colfm PMF10,E.coli C-MPN,ColfmF Conf,Colfrm Conf,ColfmF MF10,ColformsPre,F Coli Pre,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-07-31T12:01:00,1135,11.2,24.7,9.12,2.2,,,,160,,,,,,,,,,
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-07-31T11:28:00,1562,10.7,22.5,8.74,1.1,,,,99,,,,,,,,,,
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-07-31T11:02:00,1514,8.22,19.9,7.76,6.3,,,,840,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-07-31T10:31:00,1233,11.4,23.7,9.18,1.7,,,,120,,,,,,,,,,
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-07-31T09:56:00,1260,13.8,23.9,9.28,2.3,,,,410,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-07-24T10:29:00,1212,9.94,22.5,9.1,1.8,,,,200,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-07-18T12:25:00,1198,11.8,21.8,9.23,1.8,,,,250,,,,,,,,,,
SW-82610110,TREBARWITH STREAM U/S BEACH CAR PARK,2024-07-17T12:30:00,297,8.84,14.74,7.69,3.3,,,,14000,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-07-10T10:33:00,1185,8.47,18.9,8.99,2.3,,,,300,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-07-02T10:31:00,1205,11.1,19.2,9.37,3.9,,,,10,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-06-28T09:01:00,1203,12.8,21,9.19,2.4,,,,64,,,,,,,,,,
SW-73015012,SAUNTON SANDS (34100),2024-06-25T10:43:00,1033,8.33,17.5,7.59,15,,,,10,,,,,,,,,,
SW-E8900500,BERROW N OF UNITY FM (35500),2024-06-25T10:02:00,836,9.59,18.7,7.43,1,,,,10,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2024-06-21T10:20:00,212,9.11,15.9,7.6,3.7,,,,590,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-06-20T11:01:00,1168,13.1,19.7,9.17,1.6,,,,82,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-06-11T11:25:00,1160,11.6,16.5,9.05,1.6,,,,10,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-06-05T13:19:00,1135,13,18.1,9.08,1.2,,,,64,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-05-30T10:56:00,1123,10.5,17.7,9.13,3.2,,,,110,,,,,,,,,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-05-25T14:29:00,1108,14.9,19.9,9.17,2.2,,,,72,,,,,,,,,,
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-05-25T14:01:00,1249,13.2,21.4,8.92,1.5,,,,63,,,,,,,,,,
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-05-25T13:20:00,1482,9.29,17.9,8.4,1.5,,,,81,,,,,,,,,,
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-05-17T12:34:00,1225,15,21.2,9.19,3.7,,,,72,,,,,,,,,,
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-05-17T12:07:00,1469,9.04,16.7,8.07,3.6,,,,410,,,,,,,,,,
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-05-17T11:53:00,1141,13.9,20.2,9.09,1.4,,,,81,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-05-17T10:46:00,1120,12.5,19.6,9.06,1,,,,27,,,,,,,,,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-05-17T10:24:00,1114,11.8,19.5,9.06,1.1,,,,72,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-05-07T11:42:00,1108,12.9,16.1,8.96,1.1,,,,36,,,,,,,,,,
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-05-07T11:19:00,1348,11.9,17,8.96,4,,,,54,,,,,,,,,,
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-05-07T11:10:00,1486,9.87,15.2,8.36,1,,,,18,,,,,,,,,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-05-07T10:25:00,1110,12.6,16,8.92,1,,,,190,,,,,,,,,,
SW-81939999,MISCELLANEOUS FAL (WEST AREA),2024-04-26T11:45:00,417,13.1,10.6,7.87,4.4,,,,640,,,,,,,,,,
SW-50039999,MISCELLANEOUS POOL-WEYMOUTH CATCHMENT,2024-04-10T12:20:00,912,9.69,10.4,7.77,1,,,,200,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2024-03-08T10:37:00,254,11.8,6.6,7.85,4.6,,,,340,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2024-02-07T10:55:00,216,11.6,5.9,7.55,8.9,,,,770,,,,,,,,,,
SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,2023-12-19T10:29:00,170,10.9,10.8,7.25,42,,,,4100,,,,,,,,,,
NE-49000137,ESK AT RUSWARP - BANKSIDE,2023-12-14T13:36:00,149,12.4,5.6,7.86,17,,,,420,,,,,,,,,,
SW-50590127,RIVER FROME AT HOLME BRIDGE,2023-12-14T13:35:00,527,11.9,7.7,8.25,2.4,,,,210,,,,,,,,,,
SW-50450129,RIVER PIDDLE AT WEST MILLS,2023-12-14T12:32:00,561,11.5,7.4,8.18,2,,,,99,,,,,,,,,,
NW-88004530,RIVER BRATHAY AT CLAPPERSGATE,2023-12-13T13:46:00,71,11.3,7.3,6.57,2.3,,,,130,,,,,,,,,,
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2023-12-13T10:30:00,71,11.7,6.5,7.34,1,,,,81,,,,,,,,,,
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2023-12-13T10:15:00,70,12.1,6.3,7.54,1,,,,120,,,,,,,,,,
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2023-12-13T10:00:00,68,12.2,6.2,7.56,1,,,,54,,,,,,,,,,
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2023-12-12T12:00:00,146,12.7,6.3,8.07,16,,,,430,,,,,,,,,,
SW-70220104,RIVER AXE AT AXE BRIDGE,2023-12-12T10:08:00,330,10.9,9.8,7.8,26,,,,3700,,,,,,,,,,
SO-E0007267,PLENTY BROOK AT HERNE BAY,2023-12-11T13:40:00,56,11.3,7.6,7.17,1,,,,99,,,,,,,,,,
NW-88004563,LEVEN AT LOW WOOD BRIDGE HAVERTHWAITE,2023-12-11T12:55:00,73,12.3,7.6,7.61,1.3,,,,210,,,,,,,,,,
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2023-12-11T11:10:00,75,11,9.2,6.41,1.2,,,,440,,,,,,,,,,
SW-81520166,RIVER FOWEY AT RESTORMEL,2023-12-11T10:23:00,120,11,10.2,7.01,3.6,,,,220,,,,,,,,,,
MD-57464620,RIVER HAMPS - WINKHILL,2023-12-11T09:36:00,231,11.6,7.3,7.9,12,,,,1200,,,,,,,,,,
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2023-12-08T13:49:00,76,10.9,9.4,5.85,1,,,,130,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-12-08T10:53:00,195,11.6,6.1,7.84,36,,,,4900,,,,,,,,,,
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2023-12-07T14:10:00,53,11.5,9.9,6.62,51,,,,2800,,,,,,,,,,
SW-81522725,ST NEOT RIVER AT ST NEOT BRIDGE,2023-12-07T13:46:00,70,11.2,10,6.53,120,,,,6200,,,,,,,,,,
SW-81523404,SIBLYBACK STREAM AT TREKEIVESTEPS BRIDGE,2023-12-07T13:05:00,71,12.4,7.1,6.97,3,,,,81,,,,,,,,,,
SW-81930120,RIVER FAL AT TREGONY GAUGING STATION,2023-12-07T10:04:00,180,10.7,10,6.56,47,,,,4400,,,,,,,,,,
SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,2023-12-06T15:21:00,160,12.2,6.9,7.34,16,,,,1400,,,,,,,,,,
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2023-12-06T12:25:00,688,11.4,4.2,7.94,1.9,,,,210,,,,,,,,,,
AN-RR0108,ROMAN RIVER BOUNSTEAD BRIDGE,2023-12-05T10:49:00,732,11.2,6.6,7.92,25,,,,900,,,,,,,,,,
SW-81950522,CARNON RIVER AT DEVORAN BRIDGE,2023-12-04T11:45:00,390,9.91,10.7,6.55,6.3,,,,3700,,,,,,,,,,
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2023-12-01T12:25:00,441,12.4,4.8,8.07,6,,,,1600,,,,,,,,,,
MD-57403450,RIVER MANIFOLD - ILAM,2023-12-01T11:38:00,442,10.5,7.3,7.54,4.9,,,,200,,,,,,,,,,
NW-88004397,RIVER KENT AT SEDGEWICK,2023-11-28T13:27:00,148,12.7,6.6,7.58,1,,,,900,,,,,,,,,,
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2023-11-28T09:38:00,80,12.6,5.8,7.16,1,,,,10,,,,,,,,,,
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2023-11-28T09:18:00,65,12.8,5.3,7.22,1.5,,,,54,,,,,,,,,,
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2023-11-20T10:24:00,76,10.8,10.3,7.05,1.9,,,,160,,,,,,,,,,
SW-70220104,RIVER AXE AT AXE BRIDGE,2023-11-17T12:50:00,310,11.1,9.2,7.76,25,,,,6900,,,,,,,,,,
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2023-11-14T11:10:00,330,10.1,11,7.74,15,,,,1800,,,,,,,,,,
AN-RR0108,ROMAN RIVER BOUNSTEAD BRIDGE,2023-11-14T10:40:00,653,9.75,10,7.77,65,,,,2500,,,,,,,,,,
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2023-11-10T10:47:00,156,11.6,7.6,7.7,11,,,,380,,,,,,,,,,
SW-81520166,RIVER FOWEY AT RESTORMEL,2023-11-09T15:36:00,120,11.1,10.4,6.88,3.7,,,,1500,,,,,,,,,,
AN-RE600184,MAPLIN SAND 2 MILE W BLACKTAIL SPIT BUOY,2023-11-09T10:55:00,856,8.3,12.2,7.98,85.1,,,,18,,,,,,,,,,
SW-81930120,RIVER FAL AT TREGONY GAUGING STATION,2023-11-08T11:26:00,204,10.3,11.6,6.98,34,,,,12000,,,,,,,,,,
SW-81950522,CARNON RIVER AT DEVORAN BRIDGE,2023-11-07T15:44:00,402,9.52,12.7,6.69,4.3,,,,1500,,,,,,,,,,
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2023-11-07T11:12:00,84,11.2,10.6,6.44,2.6,,,,190,,,,,,,,,,
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2023-11-06T12:51:00,653,8.66,9.2,7.9,1.9,,,,110,,,,,,,,,,
MD-57403450,RIVER MANIFOLD - ILAM,2023-11-02T12:05:00,245,10.6,9.6,7.56,32,,,,1900,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-11-02T10:23:00,225,10.2,9.2,7.73,15,,,,1600,,,,,,,,,,
MD-54520250,RIVER DOVE  DOVEDALE,2023-11-02T10:05:00,379,11.3,9.2,7.92,16,,,,2400,,,,,,,,,,
SW-81522725,ST NEOT RIVER AT ST NEOT BRIDGE,2023-11-01T13:51:00,94,10.8,11.9,6.54,2.4,,,,300,,,,,,,,,,
SW-50450129,RIVER PIDDLE AT WEST MILLS,2023-11-01T13:48:00,443,9.69,12.4,7.77,21,,,,370,,,,,,,,,,
SW-81523404,SIBLYBACK STREAM AT TREKEIVESTEPS BRIDGE,2023-11-01T13:29:00,77,10.5,11.7,6.41,2.5,,,,36,,,,,,,,,,
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2023-11-01T13:09:00,60,10.8,11.3,5.87,1.6,,,,590,,,,,,,,,,
SW-50590127,RIVER FROME AT HOLME BRIDGE,2023-11-01T12:44:00,416,9.14,12.8,7.78,12,,,,1500,,,,,,,,,,
MD-57464620,RIVER HAMPS - WINKHILL,2023-11-01T09:44:00,236,10.9,10.2,7.84,19,,,,3200,,,,,,,,,,
SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,2023-10-31T11:08:00,151,10.7,11.7,7.14,11,,,,550,,,,,,,,,,
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2023-10-30T14:57:00,77,10.7,11.7,6.52,2.5,,,,290,,,,,,,,,,
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2023-10-26T14:57:00,348,9.96,12.9,7.8,31,,,,3800,,,,,,,,,,
SW-70220104,RIVER AXE AT AXE BRIDGE,2023-10-26T14:13:00,340,9.68,12.8,7.62,28,,,,14000,,,,,,,,,,
NE-49000137,ESK AT RUSWARP - BANKSIDE,2023-10-25T10:22:00,202,11.1,10.1,7.69,12,,,,1200,,,,,,,,,,
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2023-10-25T09:35:00,172,11.4,9.6,7.75,12,,,,870,,,,,,,,,,
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2023-10-24T11:20:00,79,11.3,9.6,7.35,1.1,,,,27,,,,,,,,,,
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2023-10-24T11:00:00,95,10.8,10.9,7.14,1,,,,63,,,,,,,,,,
SW-81020802,RIVER PIALL AT MARKS BRIDGE,2023-10-24T10:45:00,77,11.4,11.4,7.51,1,,,,3100,,,,,,,,,,
NW-88004397,RIVER KENT AT SEDGEWICK,2023-10-24T10:10:00,191,11.5,9.9,7.79,1,,,,130,,,,,,,,,,
SW-50590127,RIVER FROME AT HOLME BRIDGE,2023-10-18T15:54:00,537,10.3,12.3,8.13,3,,,,530,,,,,,,,,,
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2023-10-17T11:34:00,76,10.9,11.1,6.31,1,,,,130,,,,,,,,,,
MD-54520250,RIVER DOVE  DOVEDALE,2023-10-17T09:16:00,445,11.7,8.1,8.11,4.3,,,,150,,,,,,,,,,
SW-81520166,RIVER FOWEY AT RESTORMEL,2023-10-11T09:34:00,116,10.1,14.1,7.46,1,,,,350,,,,,,,,,,
AN-RR0108,ROMAN RIVER BOUNSTEAD BRIDGE,2023-10-09T13:06:00,860,8.97,15.5,7.83,3,,,,390,,,,,,,,,,
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2023-10-06T13:04:00,76,10.7,14,6.31,1,,,,81,,,,,,,,,,
SW-50450129,RIVER PIDDLE AT WEST MILLS,2023-10-06T12:29:00,542,9.59,14.6,7.85,2.6,,,,260,,,,,,,,,,
SW-81930120,RIVER FAL AT TREGONY GAUGING STATION,2023-10-06T10:45:00,239,9.72,13.6,7.23,17,,,,1300,,,,,,,,,,
SW-81523404,SIBLYBACK STREAM AT TREKEIVESTEPS BRIDGE,2023-10-06T09:57:00,72,9.75,15.3,7.08,3,,,,18,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-10-05T11:07:00,232,9.48,14.1,7.5,5.1,,,,610,,,,,,,,,,
SW-81950522,CARNON RIVER AT DEVORAN BRIDGE,2023-10-05T09:19:00,653,8.75,13.8,6.28,3.7,,,,90,,,,,,,,,,
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2023-10-03T15:04:00,679,10.1,14.6,8,1,,,,280,,,,,,,,,,
MD-57464620,RIVER HAMPS - WINKHILL,2023-10-03T12:23:00,278,10.5,12.1,8.04,19,,,,2200,,,,,,,,,,
MD-57403450,RIVER MANIFOLD - ILAM,2023-10-03T11:47:00,310,9.38,12,7.61,17,,,,1600,,,,,,,,,,
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2023-10-02T14:12:00,89,10.2,14.6,6.68,1,,,,72,,,,,,,,,,
SW-81522725,ST NEOT RIVER AT ST NEOT BRIDGE,2023-10-02T13:27:00,91,10,14.8,6.39,1,,,,99,,,,,,,,,,
