Temperature (C),Disolved Oxygen (mg/l),pH,Conductivity (micro_mhos/cm),Turbidity (NTU),Fecal Coliform (MPN/100ml)
31.0,4.0,7.8,278,47.8,5358
32.5,4.0,7.5,302,47.4,5311
31.5,4.0,7.5,323,47.9,5302
31.5,3.9,7.5,327,48.3,5396
32.8,3.9,7.4,314,46.5,5224
32.8,3.9,7.4,316,44.0,5236
31.4,3.9,7.4,317,43.4,5505
31.2,3.8,7.2,319,43.3,5458
31.2,3.8,7.2,336,43.9,5543
32.3,3.8,7.2,344,46.7,5289
32.4,3.8,7.2,354,47.0,5295
32.6,3.9,7.2,333,46.5,5245
32.6,3.9,7.0,338,46.8,5265
31.8,3.9,7.0,349,44.2,5332
31.6,3.8,7.0,350,43.7,5403
31.3,3.9,7.0,326,43.5,5418
30.3,4.0,7.1,304,43.2,5477
31.1,3.9,7.1,327,42.7,5420
30.8,4.0,7.4,319,42.3,5489
30.6,4.0,7.4,300,42.1,5473
31.0,3.9,7.5,291,42.5,5402
30.3,4.0,7.5,288,42.8,5498
31.1,3.9,7.5,295,43.4,5501
32.3,3.8,7.5,324,44.1,5368
30.5,4.0,7.5,293,43.7,5493
30.1,4.0,7.5,277,42.3,5505
30.1,3.9,7.4,275,42.1,5522
30.9,4.0,7.6,268,42.5,5516
30.8,4.0,7.8,266,43.2,5518
30.8,4.0,7.8,261,43.6,5539
30.7,3.9,7.5,272,44.3,5541
30.7,4.0,7.5,283,45.8,5537
30.7,4.0,7.5,294,44.9,5523
30.8,3.9,7.4,296,45.1,5527
30.9,4.0,7.4,284,45.7,5515
31.3,4.0,7.5,306,46.2,5477
30.3,4.0,7.1,249,44.1,5496
31.1,3.9,7.2,315,44.4,5366
31.7,3.9,7.2,328,42.5,5342
32.2,3.8,7.1,356,42.9,5288
32.5,3.8,7.2,364,43.8,5264
31.5,3.9,7.2,342,42.7,5212
31.5,3.9,7.1,349,42.5,5227
31.7,3.8,7.2,328,42.6,5238
31.2,3.8,7.2,347,42.6,5234
31.9,3.8,7.2,317,42.8,5244
30.6,4.0,7.4,296,42.1,5389
30.8,4.0,7.4,264,43.2,5377
31.6,3.9,7.5,301,43.1,5256
31.3,4.0,7.5,326,42.9,5267
30.3,4.0,7.5,304,42.9,5377
31.1,4.0,7.0,335,42.5,5267
32.3,3.9,7.1,351,44.5,5233
31.5,3.9,7.1,348,43.8,5289
31.3,3.9,7.2,287,43.6,5276
30.7,4.0,7.2,277,43.1,5355
30.8,4.0,7.4,266,43.2,5367
31.6,3.9,7.4,254,43.9,5333
31.3,3.9,7.5,278,43.8,5322
30.3,4.0,7.5,267,43.6,5310
31.1,4.0,7.5,256,43.7,5298
31.7,3.9,7.4,277,44.2,5285
32.2,4.0,7.4,325,44.7,5266
32.5,4.0,7.0,354,44.7,5264
31.5,4.0,7.0,302,43.5,5243
31.5,3.9,7.0,295,43.6,5389
31.7,3.9,7.0,266,43.2,5346
31.4,3.9,7.2,298,43.7,5342
31.9,4.0,7.2,305,43.4,5332
31.9,4.0,7.2,315,43.3,5336
32.0,3.8,7.2,341,44.2,5322
32.2,3.8,7.0,353,44.6,5298
32.5,3.8,7.2,365,46.2,5291
31.5,3.9,7.1,303,43.2,5217
31.5,3.9,7.1,285,42.5,5296
31.8,3.9,7.5,281,44.3,5354
31.8,3.9,7.5,293,43.8,5356
31.9,3.9,7.4,296,43.6,5397
31.9,3.9,7.4,305,43.9,5362
32.0,3.8,7.0,334,44.3,5246
31.7,3.8,7.5,315,43.5,5121
31.5,3.9,7.5,306,43.7,5321
31.2,3.9,7.4,297,43.6,5311
30.1,4.0,7.4,271,42.4,5310
30.4,4.0,7.0,253,42.8,5390
30.6,4.0,7.0,259,43.1,5398
30.9,4.0,7.2,249,43.4,5387
31.0,3.9,7.2,260,43.8,5311
31.1,3.9,7.2,284,44.2,5375
31.5,3.8,7.2,295,44.5,5398
31.8,3.9,7.4,299,44.6,5346
30.5,4.0,7.8,301,46.2,5473
31.5,3.9,7.4,308,45.2,5402
31.5,3.9,7.5,287,46.5,5498
30.3,4.0,7.0,271,44.0,5501
30.3,4.0,7.0,244,43.4,5368
28.0,4.0,6.8,226,43.3,5493
29.3,4.0,6.8,230,43.9,5230
30.2,4.0,7.0,245,42.7,5390
30.7,4.0,7.4,260,43.0,5398
30.8,4.0,7.4,272,44.5,5387
31.0,3.9,7.8,266,46.8,5311
31.6,3.8,7.8,263,45.3,5244
31.6,3.8,7.8,274,45.3,5284
31.5,3.8,7.6,288,44.2,5217
31.7,3.9,7.6,289,44.5,5296
31.5,3.8,7.6,294,44.6,5354
31.2,3.8,7.5,304,44.3,5356
30.1,4.0,7.5,299,44.8,5473
30.4,4.0,7.5,258,44.2,5402
30.6,4.0,7.4,261,43.2,5495
30.9,4.0,7.4,243,43.8,5505
31.0,3.9,7.5,274,44.6,5363
31.1,3.9,7.5,279,44.7,5496
31.5,3.9,7.5,283,45.3,5473
31.8,3.8,7.5,288,44.2,5402
30.5,4.0,7.4,255,44.8,5498
30.8,4.0,7.4,253,44.5,5501
30.6,4.0,7.5,256,42.6,5368
31.0,3.9,7.5,295,43.5,5493
30.3,4.0,7.5,263,44.4,5463
31.1,3.9,7.5,285,44.6,5407
32.3,3.8,7.8,325,45.6,5458
30.5,4.0,7.2,293,43.2,5531
30.1,4.0,7.1,266,43.8,5567
30.1,4.0,7.1,269,44.1,5495
30.4,4.0,7.4,261,45.3,5473
30.6,4.0,7.4,243,44.7,5402
30.9,4.0,7.4,249,45.8,5498
31.0,4.0,7.4,286,46.1,5305
31.1,3.9,7.2,296,46.2,5368
31.5,3.9,7.2,306,46.3,5293
31.8,3.8,7.2,314,46.7,5289
32.0,3.8,7.3,339,47.0,5234
32.2,3.8,7.3,348,47.1,5236
32.3,3.8,7.3,359,47.2,5257
32.0,3.8,7.3,356,46.2,5238
32.3,3.8,7.5,347,45.7,5237
32.7,3.7,7.4,355,45.3,5226
32.7,3.7,7.4,356,46.8,5222
32.6,3.7,7.4,359,45.6,5237
32.5,3.7,7.2,367,45.6,5239
31.9,3.9,7.2,336,44.6,5244
31.8,3.9,7.2,327,44.7,5256
32.0,3.8,7.3,367,45.3,5238
31.5,3.9,7.3,342,44.2,5283
31.7,3.9,7.3,353,44.8,5319
31.7,3.9,7.3,323,44.5,5348
31.4,3.9,7.5,312,42.6,5321
31.4,3.9,7.4,317,44.6,5384
31.3,3.9,7.4,316,44.7,5385
31.3,3.9,7.2,315,45.3,5381
31.3,3.9,7.2,306,44.2,5391
31.2,3.9,7.3,297,44.8,5347
31.0,3.9,7.3,296,44.5,5358
30.9,4.0,7.3,267,42.6,5374
30.8,4.0,7.3,262,47.2,5345
30.5,4.0,7.5,245,46.7,5344
30.8,4.0,7.4,241,47.0,5367
30.6,4.0,7.4,248,46.6,5312
31.0,3.9,7.5,265,46.8,5277
30.3,4.0,7.5,248,43.5,5349
31.1,3.9,7.5,271,43.4,5399
32.3,3.8,7.4,328,44.9,5227
30.5,4.0,7.4,289,43.3,5419
30.1,4.0,7.5,263,43.2,5417
30.1,4.0,7.5,249,43.5,5427
31.6,3.9,7.5,295,44.6,5248
32.5,3.8,7.6,344,43.4,5232
31.5,3.9,7.8,305,47.7,5281
31.5,3.9,7.8,314,46.5,5258
30.7,4.0,7.5,270,42.9,5291
28.0,4.0,6.8,226,43.3,5230
29.3,4.0,6.8,230,43.9,5230
30.3,4.0,7.0,241,46.6,5511
30.4,4.0,7.0,263,46.4,5498
30.6,4.0,7.5,269,46.2,5456
31.5,3.8,8.1,228,44.9,5442
31.5,3.6,7.8,235,44.2,5403
31.6,3.7,7.8,235,43.1,5447
32.9,3.8,7.8,249,47.2,5396
30.2,4.0,7.0,289,46.7,5643
30.7,4.0,7.4,283,47.0,5502
30.8,4.0,7.4,293,46.6,5454
31.0,3.9,7.8,276,46.8,5299
32.3,3.8,7.8,328,46.8,5257
32.4,3.8,8.0,349,47.3,5291
32.6,3.8,8.0,351,43.2,5230
32.6,3.8,7.8,353,46.8,5247
31.5,3.9,7.5,324,47.3,5346
31.5,3.9,7.5,308,43.4,5359
30.5,4.0,7.0,300,43.4,5384
