PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Cond @ 25C,Oxygen Diss,Temp Water,pH,cos_day_of_year,sin_day_of_year,Cond @ 25C_x_Oxygen Diss,Cond @ 25C_x_Temp Water,Cond @ 25C_x_pH,Cond @ 25C_x_cos_day_of_year,Cond @ 25C_x_sin_day_of_year,Oxygen Diss_x_Temp Water,Oxygen Diss_x_pH,Oxygen Diss_x_cos_day_of_year,Oxygen Diss_x_sin_day_of_year,Temp Water_x_pH,Temp Water_x_cos_day_of_year,Temp Water_x_sin_day_of_year,pH_x_cos_day_of_year,pH_x_sin_day_of_year,cos_day_of_year_x_sin_day_of_year,E.coli C-MF
-0.107888602561868,-0.022735079407625,0.064452168471684,-0.38966373277195,-0.706631633336029,0.517031395593265,0.017516711855191,-1.00458899179708E-16,130,12,6.4,7.71,0.804187157621448,0.594376156584983,1560,832,1002.3,104.544330490788,77.2689003560478,76.8,92.52,9.65024589145738,7.1325138790198,49.344,5.14679780877727,3.80400740214389,6.20028298526136,4.58264016727022,0.477989671922038,90
-0.107888602561868,-0.022735079407625,0.064452168471684,-0.38966373277195,-0.706631633336029,0.517031395593265,0.017516711855191,-1.00458899179708E-16,235,11.3,6,8.11,0.293433968966527,0.955979343844077,2655.5,1410,1905.85,68.9569827071338,224.655145803358,67.8,91.643,3.31580384932176,10.8025665854381,48.66,1.76060381379916,5.73587606306446,2.37974948831853,7.75299247857546,0.280516813114184,290
-0.107888602561868,-0.022735079407625,0.064452168471684,-0.38966373277195,-0.706631633336029,0.517031395593265,0.017516711855191,-1.00458899179708E-16,278,11.2,10.2,7.51,-0.06339140486951,0.997988742315598,3113.6,2835.6,2087.78,-17.6228105537238,277.440870363736,114.24,84.112,-0.709983734538512,11.1774739139347,76.602,-0.646592329669002,10.1794851716191,-0.47606945057002,7.49489545479014,-0.063263908419341,73
-0.107888602561868,-0.022735079407625,0.064452168471684,-0.38966373277195,-0.706631633336029,0.517031395593265,0.017516711855191,-1.00458899179708E-16,310,10.6,11.8,7.91,-0.412033636959426,0.911168635332663,3286,3658,2452.1,-127.730427457422,282.462276953126,125.08,83.846,-4.36755655176992,9.65838753452623,93.338,-4.86199691612123,10.7517898969254,-3.25918606834906,7.20734390548136,-0.375432126699474,120
-0.107888602561868,-0.022735079407625,0.064452168471684,-0.38966373277195,-0.706631633336029,0.517031395593265,0.017516711855191,-1.00458899179708E-16,296,11,9.7,8.11,0.039770113846056,0.999208856067975,3256,2871.2,2400.56,11.7719536984326,295.765821396121,106.7,89.21,0.437471252306616,10.9912974167477,78.667,0.385770104306743,9.69232590385936,0.322535623291514,8.10358382271128,0.039738649961811,290
-0.107888602561868,-0.022735079407625,0.064452168471684,-0.38966373277195,-0.706631633336029,0.517031395593265,0.017516711855191,-1.00458899179708E-16,329,10.3,13.1,8.21,-0.547611203840231,0.836732914034492,3388.7,4309.9,2701.09,-180.164086063436,275.285128717348,134.93,84.563,-5.64039539955438,8.61834901455527,107.551,-7.17370677030703,10.9612011738518,-4.4958879835283,6.86957722422318,-0.458204318347173,420
-0.107888602561868,-0.022735079407625,0.064452168471684,-0.38966373277195,-0.706631633336029,0.517031395593265,0.017516711855191,-1.00458899179708E-16,321,9.19,14.9,7.9,-0.872929070820641,0.487847145442312,2949.99,4782.9,2535.9,-280.210231733426,156.598933686982,136.931,72.601,-8.02221816084169,4.48331526661485,117.71,-13.0066431552276,7.26892246709045,-6.89613965948306,3.85399244899427,-0.42585595537346,118
-0.107888602561868,-0.022735079407625,0.064452168471684,-0.38966373277195,-0.706631633336029,0.517031395593265,0.017516711855191,-1.00458899179708E-16,167,9.46,17.9,7.7,-0.998056320853012,0.062318379354325,1579.82,2989.3,1285.9,-166.675405582453,10.4071693521723,169.334,72.842,-9.44161279526949,0.589531868691915,137.83,-17.8652081432689,1.11549899044242,-7.68503367056819,0.479851521028303,-0.0621972524199,82
-0.070272055094752,-0.011840715806369,0.031170974574266,-0.12536425587662,-0.046506417042578,-0.22168311398679,-0.061075675415615,-7.81702302910277E-16,562,13.8,4.6,8.43,0.639211653138059,0.769030859258918,7755.6,2585.2,4737.66,359.236949063589,432.195342903512,63.48,116.334,8.82112081330522,10.6126258577731,38.778,2.94037360443507,3.53754195259102,5.38855423595384,6.48293014355268,0.491573486861075,720
-0.071458473302799,-0.012117211768684,0.03195676155915,-0.1295485238576,-0.048671573786433,-0.23786667226307,-0.07767011295646,1.01189335299218E-15,791,7.94,6.7,8.1,0.639211653138059,0.769030859258918,6280.54,5299.7,6407.1,505.616417632205,608.303409673804,53.198,64.314,5.07534052591619,6.10610502251581,54.27,4.282718076025,5.15250675703475,5.17761439041828,6.22914995999724,0.491573486861075,280
